S,Average Comparisons,Performance (ns)
1,19388000,275039900
2,19404228,279084400
3,19262190,248238933
4,19261285,233487233
5,19261407,229081000
6,19290610,223984100
7,19421408,255430866
8,19422406,235812600
9,19423344,210122366
10,19421385,221760066
11,19423078,208827066
12,19423209,210509033
13,19423822,205205333
14,20137666,194369000
15,20442990,195587200
16,20439202,201762200
17,20444412,193911666
18,20441539,223182166
19,20440718,235685933
20,20440611,229112533
21,20439254,207595300
22,20444053,195365633
23,20443121,230618333
24,20442921,233165900
25,20443798,195505100
26,20439296,204187433
27,20440834,200975400
28,20440078,194515266
29,21777760,193797566
30,23316086,191878900
31,23316704,213419266
32,23317095,189857000
33,23318595,196305200
34,23315910,193549366
35,23317736,188352700
36,23312433,200041866
37,23318074,190218033
38,23322877,191598866
39,23317550,205189033
40,23317199,191347100
41,23315115,190157433
42,23320465,195486233
43,23319674,188463133
44,23322491,210504500
45,23315252,192721966
46,23315702,208466933
47,23317180,208162433
48,23315010,189506000
49,23319670,192588100
50,23320402,203292233
51,23317707,194198833
52,23321030,193788600
53,23311441,189195833
54,23318188,204637666
55,23318547,203068166
56,23311543,198896400
57,23317242,200454666
58,23314506,185710400
59,23318417,186641966
60,29732376,196003366
61,29980541,202331066
62,29982583,201466033
63,29967158,213034633
64,29972824,205704566
65,29981349,210656266
66,29970469,198616033
67,29983002,205718000
68,29964441,212356433
69,29981173,202471400
70,29992061,207319466
71,29976734,228291500
72,29974363,239297966
73,29987972,205565533
74,29969887,198622600
75,29970029,200005800
76,29974784,214160666
77,29969404,223964700
78,29978666,211855300
79,29973356,254784700
80,29970388,224773333
81,29985405,245662766
82,29977699,218444500
83,29978035,214288300
84,29985932,218348266
85,29976620,258611066
86,29972360,450601466
87,29979521,493220600
88,29966284,490753800
89,29967895,510763533
90,29976240,475766333
91,29973966,454208133
92,29976406,506536633
93,29977465,466552666
94,29968200,473492500
95,29973707,473284433
96,29973360,493877633
97,29967329,570875800
98,29977582,585053433
99,29974636,560863633
100,29987836,566755600
