ArraySize,S,Average Comparisons,Performance (ns)
1000,1,9435,592000
1000,2,9454,595400
1000,3,9320,531700
1000,4,9276,476800
1000,5,9284,393500
1000,6,9301,315900
1000,7,9496,215700
1000,8,9511,398100
1000,9,9444,392700
1000,10,9430,412200
1000,11,9442,373700
1000,12,9429,372000
1000,13,9453,516100
1000,14,9762,401700
1000,15,10429,295600
1000,16,10444,135500
1000,17,10620,129400
1000,18,10570,133400
1000,19,10586,132900
1000,20,10491,317400
1000,21,10589,341600
1000,22,10507,333800
1000,23,10566,328700
1000,24,10537,314200
1000,25,10514,474000
1000,26,10581,151400
1000,27,10473,303300
1000,28,10475,128600
1000,29,10605,133300
1000,30,12811,385000
1000,31,13450,461300
1000,32,13706,377400
1000,33,13266,340100
1000,34,13623,343100
1000,35,13512,346200
1000,36,13638,268400
1000,37,13306,776400
1000,38,13710,270300
1000,39,13727,217600
1000,40,13437,346600
1000,41,13823,344100
1000,42,13645,326900
1000,43,13368,348700
1000,44,13628,324900
1000,45,13505,387900
1000,46,13608,364600
1000,47,13490,305500
1000,48,13653,322400
1000,49,13203,313600
1000,50,13612,347400
1000,51,13766,377200
1000,52,13640,316600
1000,53,13739,314700
1000,54,13462,311600
1000,55,13424,288600
1000,56,13470,270600
1000,57,13471,252600
1000,58,13740,283500
1000,59,13253,260200
1000,60,13482,159000
1000,61,16837,218700
1000,62,20991,378300
1000,63,19989,358000
1000,64,20244,440900
1000,65,20544,348800
1000,66,20484,326900
1000,67,20188,325600
1000,68,20535,209300
1000,69,20294,361800
1000,70,20394,248000
1000,71,20517,142800
1000,72,20927,148000
1000,73,20318,353600
1000,74,20474,351200
1000,75,20493,326500
1000,76,20226,325900
1000,77,20352,324400
1000,78,20249,139400
1000,79,20321,143600
1000,80,20290,164100
1000,81,21040,152000
1000,82,20108,361500
1000,83,20818,388400
1000,84,20329,378200
1000,85,20649,424100
1000,86,20450,335800
1000,87,20430,316800
1000,88,20420,334300
1000,89,20316,372900
1000,90,19595,364300
1000,91,20995,482800
1000,92,20792,339800
1000,93,20649,374000
1000,94,20343,394200
1000,95,19878,393800
1000,96,20619,368600
1000,97,20970,349300
1000,98,19927,200000
1000,99,20660,354900
1000,100,20568,445100
10000,1,126604,8273800
10000,2,127320,5935300
10000,3,127098,6493100
10000,4,126157,4330000
10000,5,126063,4600600
10000,6,126022,5943400
10000,7,126116,5017700
10000,8,126707,4813300
10000,9,130384,4415700
10000,10,129725,4752400
10000,11,130324,4484600
10000,12,130060,4053400
10000,13,129801,4455300
10000,14,129981,4134900
10000,15,130175,4423400
10000,16,129953,4264300
10000,17,130147,4430600
10000,18,136839,4375000
10000,19,145280,3379400
10000,20,145807,4657300
10000,21,145141,3505700
10000,22,145673,3698600
10000,23,145503,4813400
10000,24,145818,5412000
10000,25,144849,3989000
10000,26,146088,3421700
10000,27,145198,4697300
10000,28,145580,4477600
10000,29,145198,4951600
10000,30,145291,4352700
10000,31,145360,4458500
10000,32,144896,4435900
10000,33,144934,4177300
10000,34,145885,3995600
10000,35,145096,4498100
10000,36,145790,3899800
10000,37,146006,3599000
10000,38,183091,4184400
10000,39,184095,3444500
10000,40,184383,4665200
10000,41,184364,3755900
10000,42,185571,4269500
10000,43,184770,4172000
10000,44,185426,3293200
10000,45,184597,2546300
10000,46,183898,3853400
10000,47,183579,4284700
10000,48,184766,4085300
10000,49,184547,4026900
10000,50,185236,2923800
10000,51,184967,4283100
10000,52,184420,3572400
10000,53,185094,4312400
10000,54,185012,4290000
10000,55,184652,3082200
10000,56,184027,3048800
10000,57,184881,4541400
10000,58,184264,3914300
10000,59,185811,3534200
10000,60,184732,3823300
10000,61,184943,4064000
10000,62,184513,4213400
10000,63,185336,3844600
10000,64,184233,4130400
10000,65,185839,3341200
10000,66,184279,4307500
10000,67,183918,4799800
10000,68,184917,4412000
10000,69,185125,4445000
10000,70,184100,4496900
10000,71,186007,4513100
10000,72,184452,4511800
10000,73,184211,4055100
10000,74,184208,4591600
10000,75,185250,4521000
10000,76,185953,4055100
10000,77,260095,5077300
10000,78,272113,5110900
10000,79,270506,5467300
10000,80,271977,4126200
10000,81,272165,3958400
10000,82,274633,4874800
10000,83,272053,5301600
10000,84,272443,3832800
10000,85,272325,4226700
10000,86,274287,2633700
10000,87,273577,5112200
10000,88,270570,4055600
10000,89,272037,3224400
10000,90,271429,5067100
10000,91,272526,3434600
10000,92,271976,4933100
10000,93,273237,5141300
10000,94,273370,2828600
10000,95,273495,4422400
10000,96,272651,4381200
10000,97,273694,4903800
10000,98,271039,4225800
10000,99,271730,4796000
10000,100,272796,4891400
100000,1,1588173,87261500
100000,2,1598452,67977700
100000,3,1597432,75614200
100000,4,1597162,50523100
100000,5,1597404,43865600
100000,6,1598590,59124600
100000,7,1598060,66256000
100000,8,1598905,57977000
100000,9,1598565,57564300
100000,10,1599275,62225600
100000,11,1648396,58333500
100000,12,1666362,51119900
100000,13,1663952,31390200
100000,14,1665494,40574900
100000,15,1665103,50229500
100000,16,1665291,52410200
100000,17,1664712,51466100
100000,18,1664914,42512000
100000,19,1666681,37803900
100000,20,1665736,33960900
100000,21,1665795,39162100
100000,22,1664300,46018700
100000,23,1784044,49066600
100000,24,1878442,48337900
100000,25,1877623,51756300
100000,26,1877801,46229000
100000,27,1879422,52599700
100000,28,1878871,50050400
100000,29,1876855,44990100
100000,30,1878172,46298500
100000,31,1874238,42730100
100000,32,1877381,43233500
100000,33,1875076,47319100
100000,34,1876155,48719300
100000,35,1876217,47222400
100000,36,1876741,50088800
100000,37,1878296,47388300
100000,38,1877956,46653400
100000,39,1877353,46355000
100000,40,1875921,34329100
100000,41,1876757,33205100
100000,42,1879388,40298500
100000,43,1877500,46788400
100000,44,1876974,49639600
100000,45,1878235,60427400
100000,46,1878112,47008400
100000,47,1963210,30363000
100000,48,2389822,37721200
100000,49,2391886,47620200
100000,50,2388459,48944500
100000,51,2387729,49616700
100000,52,2396681,45394500
100000,53,2393779,50391500
100000,54,2391813,54354400
100000,55,2392188,51650300
100000,56,2396214,56063800
100000,57,2391080,51258000
100000,58,2392535,55823800
100000,59,2394810,48746200
100000,60,2390032,53218000
100000,61,2390315,45578800
100000,62,2394689,50138700
100000,63,2389827,50262000
100000,64,2386827,48970900
100000,65,2393673,49269300
100000,66,2389656,49008400
100000,67,2393649,48809600
100000,68,2391290,46543900
100000,69,2394173,46787500
100000,70,2390742,50044500
100000,71,2392691,47631100
100000,72,2390673,46091000
100000,73,2390079,48507400
100000,74,2389782,49960100
100000,75,2387632,46695100
100000,76,2391982,48852000
100000,77,2393686,59061000
