V,E,duration
100000,1000,17732066
100000,2000,14652866
100000,3000,15623533
100000,4000,17121533
100000,5000,23725266
100000,6000,21411233
100000,7000,22699800
100000,8000,23307033
100000,9000,25205066
100000,10000,26599433
100000,11000,28597933
100000,12000,30997733
100000,13000,33619133
100000,14000,34038766
100000,15000,36644566
100000,16000,37459433
100000,17000,53190066
100000,18000,54162066
100000,19000,50790300
100000,20000,49344766
100000,21000,52444800
100000,22000,51951466
100000,23000,51662833
100000,24000,56505966
100000,25000,56460233
100000,26000,58835466
100000,27000,59780866
100000,28000,64320900
100000,29000,76114233
100000,30000,80000366
100000,31000,87369633
100000,32000,83963033
100000,33000,83555600
100000,34000,83285433
100000,35000,83715766
100000,36000,85753766
100000,37000,87755166
100000,38000,85394800
100000,39000,97694866
100000,40000,89068600
100000,41000,94249233
100000,42000,90761833
100000,43000,99882300
100000,44000,105013900
100000,45000,105647100
100000,46000,108621333
100000,47000,127815066
100000,48000,148577066
100000,49000,137747133
100000,50000,119466533
100000,51000,145940566
100000,52000,144015066
100000,53000,122403733
100000,54000,128606200
100000,55000,152777533
100000,56000,180465200
100000,57000,152324566
100000,58000,169957466
100000,59000,194377300
100000,60000,185193100
100000,61000,194034000
100000,62000,198234033
100000,63000,240459933
100000,64000,336180933
100000,65000,356116333
100000,66000,385625733
100000,67000,338995200
100000,68000,287341100
100000,69000,302203766
100000,70000,629459366
100000,71000,494596633
100000,72000,368011266
100000,73000,802340200
100000,74000,381194433
100000,75000,850325966
100000,76000,670065900
100000,77000,753536966
100000,78000,758621433
100000,79000,493823533
100000,80000,860368133
100000,81000,556024566
100000,82000,1306464866
100000,83000,665904166
100000,84000,1058674666
100000,85000,1101595433
100000,86000,1552329433
100000,87000,677771766
100000,88000,1662329033
100000,89000,1724462333
100000,90000,1281074266
100000,91000,1858398766
100000,92000,1362092800
100000,93000,822247766
100000,94000,2055788300
100000,95000,2124532966
100000,96000,1528030400
100000,97000,1573461866
100000,98000,2311061933
100000,99000,2386575400
100000,100000,2463369266
