V,E,duration
1000,100000,354083566
2000,100000,566173500
3000,100000,711763666
4000,100000,891890533
5000,100000,835301366
6000,100000,965827500
7000,100000,965689100
8000,100000,1040057166
9000,100000,1044148800
10000,100000,1013573100
11000,100000,981083266
12000,100000,1059588100
13000,100000,931678000
14000,100000,1091554866
15000,100000,953996466
16000,100000,1056320033
17000,100000,980509266
18000,100000,1142169900
19000,100000,1064888166
20000,100000,1172823600
21000,100000,1055637533
22000,100000,1270295400
23000,100000,1129773433
24000,100000,1330074000
25000,100000,1198101766
26000,100000,1420291300
27000,100000,1278433200
28000,100000,1510069700
29000,100000,1345139100
30000,100000,1601679266
31000,100000,1429330100
32000,100000,1690592566
33000,100000,1542707166
34000,100000,1756312000
35000,100000,1619729833
36000,100000,1868108433
37000,100000,1664606166
38000,100000,1949074300
39000,100000,1761459966
40000,100000,2020245066
41000,100000,1839957200
42000,100000,2133682200
43000,100000,1918810466
44000,100000,2205570866
45000,100000,2012656866
46000,100000,2330769933
47000,100000,2064131233
48000,100000,2389425233
49000,100000,2146045133
50000,100000,2447050866
51000,100000,2221142300
52000,100000,2519702233
53000,100000,1583144966
54000,100000,2611217133
55000,100000,1726257900
56000,100000,3278898933
57000,100000,2576722900
58000,100000,5965521133
59000,100000,7631245866
60000,100000,7245019366
61000,100000,6752822366
62000,100000,7012548233
63000,100000,6656230433
64000,100000,7078764133
65000,100000,6752590466
66000,100000,6814008066
67000,100000,6757787166
68000,100000,2475901933
69000,100000,1857086433
70000,100000,2920996766
71000,100000,2583801900
72000,100000,2145770633
73000,100000,2695552433
74000,100000,2115697833
75000,100000,2718081633
76000,100000,3160352133
77000,100000,1946061466
78000,100000,3203433000
79000,100000,2028391933
80000,100000,3047260833
81000,100000,1912084100
82000,100000,3046127266
83000,100000,2699950133
84000,100000,3049710833
85000,100000,1861155633
86000,100000,3017583266
87000,100000,2673248000
88000,100000,2993635133
89000,100000,2638598333
90000,100000,2948555800
91000,100000,2606918733
92000,100000,2936217133
93000,100000,1837424533
94000,100000,1119606666
95000,100000,2548155166
96000,100000,1991393233
97000,100000,1763345133
98000,100000,2815810866
99000,100000,2482594433
100000,100000,2785800033
